sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u19204,True,0,0,1
u950783,True,0,0,0
u648086,True,0,0,0
u464317,True,13.0,3.1731628534998357,5
u13498,True,0,0,0
u992242,True,0,0,0
u888122,True,0,0,0
u817475,True,0,0,0
u389160,True,0,0,0
u948716,True,0,0,1
u134524,True,0,0,0
u175903,True,0,0,0
u237288,True,0,0,0
u261906,True,0,0,0
u127849,True,0,0,0
u127057,True,0,0,0
u683515,True,0,0,0
u54306,True,0,0,1
u2539,False,0,0,1
u17499,False,0,0,0
u8719,True,0,0,0
u258,True,25.0,2.853409238126722,3
u38468,True,0,0,0
u5190,True,0,0,0
u19626,False,0,0,0
u7256,True,21.0,2.619441348463612,3
u4687,True,0,0,0
u2449,True,0,0,0
u198452,True,0,0,0
u198969,True,0,0,0
u618960,True,0,0,1
u655859,True,0,0,0
u11178,True,0,0,0
u792303,True,0,0,1
u303211,True,23.0,6.68643722050951,12
u174487,True,0,0,0
u18720,True,0,0,0
u491643,True,21.0,3.2824514802346103,4
u15152,True,0,0,0
u28250,True,0,0,0
u285409,True,0,0,1
u266165,True,0,0,0
u823709,True,6.0,1.5846052431418283,2
u760703,True,0,0,1
u18825,True,0,0,0
u973577,True,0,0,0
u5029,True,0,0,0
u592585,True,0,0,0
u5475,True,0,0,0
u814919,False,25.0,1.9924726511473498,2
u266312,False,0,0,0
u3243,False,0,0,1
u98207,False,0,0,0
u45689,False,0,0,0
u498697,True,0,0,0
u719641,True,0,0,0
u16775,True,23.0,2.84340121523798,3
u137647,True,0,0,0
u151385,True,25.0,1.9924726511473498,2
u3166,True,0,0,0
u7112,True,0,0,0
u932721,False,0,0,0
u2133,False,0,0,0
u998385,False,0,0,0
u2740,False,20.0,2.711471432958029,5
u1058387,False,0,0,0
u430772,False,0,0,0
u972008,False,0,0,1
u36766,False,0,0,1
u8055,False,0,0,0
u29403,False,0,0,0
u29610,False,11.0,1.8417913294768142,2
u522875,False,0,0,0
u37877,False,11.0,1.8417913294768142,2
u972337,False,0,0,1
u3250,False,0,0,1
u4497,False,0,0,1
u916774,False,11.0,1.8417913294768142,2
u686595,False,0,0,0
u25189,False,0,0,0
u13039,False,0,0,0
u15499,False,0,0,1
u754,False,0,0,1
u23519,True,0,0,0
u781695,True,26.0,1.9939735846247937,2
u718542,True,0,0,1
u687848,True,0,0,1
