sotu,isZoonotic,maxTaxonDistance,maxDiversity,numUniqueTaxOrders
u883540,True,0,0,1
u23264,True,35.0,2.990085545083713,3
u436299,True,0,0,0
u350772,True,0,0,0
u987572,True,29.0,3.410674262297285,4
u131345,True,0,0,0
u97714,True,0,0,0
u236284,True,0,0,0
u135168,True,0,0,0
u6438,True,26.0,1.9939735846247937,2
u853061,True,0,0,0
u266872,True,0,0,0
u245564,True,0,0,0
u135661,True,0,0,0
u215418,True,0,0,0
u57410,True,0,0,0
u685229,True,0,0,0
u968483,True,0,0,0
u714854,True,0,0,0
u230585,True,0,0,0
u130249,True,0,0,0
u946442,True,0,0,0
u11550,True,0,0,1
u64094,True,0,0,0
u684408,True,0,0,0
u773284,True,0,0,0
u883959,True,0,0,0
u99287,True,28.0,2.3170092841182153,3
u140522,True,0,0,0
u227542,True,0,0,0
u265050,True,0,0,0
u96358,True,0,0,0
u899296,True,0,0,0
u688747,True,0,0,0
u843595,True,0,0,0
u1036577,True,0,0,0
u712143,True,0,0,1
u259712,True,0,0,1
u198165,True,0,0,1
u11435,True,0,0,1
u622542,True,0,0,0
u1053892,True,0,0,0
u994615,True,0,0,0
u1054761,True,0,0,0
u236419,True,0,0,0
u993885,True,0,0,0
u547944,True,0,0,0
u179645,True,0,0,0
u142278,True,0,0,1
u173580,True,0,0,0
u1075117,True,0,0,0
u867909,True,0,0,0
u731707,True,0,0,0
u933646,True,0,0,0
u798111,True,0,0,0
u689532,True,0,0,0
u933647,True,0,0,0
u77705,True,0,0,0
u870411,True,0,0,0
u880467,True,0,0,0
u828768,True,0,0,0
u59849,True,0,0,0
u97371,True,0,0,0
u191348,True,0,0,0
u275103,True,0,0,0
u292569,True,0,0,0
u134036,True,0,0,0
u368715,True,0,0,0
u696081,True,0,0,0
u482954,True,0,0,0
u236372,True,0,0,0
u238089,True,0,0,0
u293151,True,0,0,0
u18285,True,28.0,1.9961389058195478,2
u850318,True,0,0,1
u964814,True,0,0,0
u691725,True,0,0,0
u401579,True,0,0,0
u163316,True,0,0,1
u891749,True,0,0,0
u592303,True,0,0,1
u118068,True,0,0,1
u19204,True,26.0,1.9939735846247937,2
u950783,True,0,0,0
u648086,True,0,0,0
u464317,True,30.0,4.479435553230321,7
u13498,True,0,0,0
u992242,True,0,0,0
u888122,True,0,0,0
u817475,True,0,0,0
u389160,True,0,0,0
u948716,True,0,0,1
u134524,True,0,0,0
u175903,True,0,0,0
u237288,True,0,0,0
u261906,True,0,0,0
u127849,True,0,0,0
u127057,True,0,0,0
u683515,True,0,0,0
u54306,True,0,0,1
u2539,False,0,0,1
u17499,False,0,0,0
u8719,True,0,0,1
u258,True,35.0,4.8329139408899096,5
u38468,True,0,0,0
u5190,True,0,0,0
u19626,False,0,0,1
u7256,True,36.0,3.6099378453709203,4
u4687,True,0,0,0
u2449,True,0,0,0
u198452,True,0,0,0
u198969,True,0,0,0
u618960,True,0,0,1
u655859,True,5.0,1.634293862552307,3
u11178,True,0,0,1
u792303,True,0,0,1
u303211,True,42.0,10.022340141945712,20
u174487,True,0,0,1
u18720,True,0,0,0
u491643,True,35.0,4.696038827863539,7
u15152,True,0,0,1
u28250,True,0,0,0
u285409,True,0,0,1
u266165,True,0,0,0
u823709,True,29.0,2.579710915841959,3
u760703,True,30.0,2.640789011887112,4
u18825,True,0,0,0
u973577,True,0,0,0
u5029,True,0,0,0
u592585,True,0,0,0
u5475,True,0,0,0
u814919,False,30.0,3.4034593946723772,4
u266312,False,0,0,0
u3243,False,31.0,2.641734844487611,4
u98207,False,0,0,0
u45689,False,0,0,0
u498697,True,0,0,0
u719641,True,0,0,0
u16775,True,36.0,3.8354228703290563,4
u137647,True,0,0,0
u151385,True,30.0,2.986934478287712,3
u3166,True,3.0,1.3227513227513226,2
u7112,True,0,0,1
u932721,False,0,0,0
u2133,False,0,0,1
u998385,False,0,0,0
u2740,False,36.0,3.7032744764701393,6
u1058387,False,0,0,0
u430772,False,0,0,0
u972008,False,0,0,1
u36766,False,26.0,1.9939735846247937,2
u8055,False,0,0,1
u29403,False,0,0,0
u29610,False,30.0,3.4744623537154933,5
u522875,False,0,0,0
u37877,False,30.0,3.1545578948927817,4
u972337,False,0,0,1
u3250,False,27.0,2.3155783696026613,3
u4497,False,31.0,1.9980212555906887,2
u916774,False,29.0,2.833403246637455,3
u686595,False,0,0,0
u25189,False,0,0,1
u13039,False,0,0,0
u15499,False,0,0,1
u754,False,0,0,1
u23519,True,0,0,0
u781695,True,26.0,1.9939735846247937,2
u718542,True,0,0,1
u687848,True,0,0,1
u708769,True,0,0,1
u428681,False,0,0,0
u582294,False,0,0,1
u874340,False,0,0,0
u896319,False,36.0,5.852968878989501,7
u851981,False,29.0,1.9969099315511079,2
u1013662,False,0,0,1
u1054557,False,0,0,0
u24121,False,0,0,0
u17107,False,0,0,1
u550190,False,0,0,0
u7892,False,0,0,1
u492552,False,0,0,0
u118871,False,0,0,1
u37868,False,30.0,3.3670863131116313,4
u232264,False,0,0,0
u501640,False,0,0,0
u189209,False,0,0,0
u24285,False,37.0,6.559595338834115,10
u327480,False,0,0,0
u655660,False,0,0,0
u416424,False,0,0,1
u877453,False,0,0,0
u916935,False,0,0,1
u1031306,False,0,0,0
u556668,False,0,0,0
u230589,False,0,0,0
u460607,False,0,0,1
u191472,False,0,0,0
u259922,False,37.0,5.463315524487234,8
u1051646,False,0,0,0
u17125,False,42.0,4.721019675803413,5
