appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u7423,"['Palmprint', 'SOTU']",SOTU,64280,False,nan,species,40,Amarillovirales,Amarillovirales,1.0,208,7,,,
u238237,"['Palmprint', 'SOTU']",SOTU,37124,True,nan,species,0,Martellivirales,Martellivirales,1.0,193,0,u238237,3.0,0.0
u975858,"['Palmprint', 'SOTU']",SOTU,138949,True,nan,species,0,Picornavirales,Picornavirales,0.0,208,0,u975858,2.0,0.0
u3824,"['Palmprint', 'SOTU']",SOTU,44026,False,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,,,
u6349,"['Palmprint', 'SOTU']",SOTU,80939,True,nan,no rank,1,Bunyavirales,Bunyavirales,0.0,164,1,u6349,2.0,0.0
u18583,"['Palmprint', 'SOTU']",SOTU,1176484,False,nan,species,0,Picornavirales,Picornavirales,1.0,193,0,u18583,3.0,0.0
u4902,"['Palmprint', 'SOTU']",SOTU,1176484,False,nan,species,0,Picornavirales,Picornavirales,0.0,193,0,u4902,1.0,0.0
u811277,"['Palmprint', 'SOTU']",SOTU,1176484,False,nan,species,0,Picornavirales,Picornavirales,1.0,193,0,u811277,5.0,0.0
u8555,"['Palmprint', 'SOTU']",SOTU,59300,True,nan,species,0,Martellivirales,Martellivirales,2.0,193,0,u8555,11.0,10.0
u466536,"['Palmprint', 'SOTU']",SOTU,59300,True,nan,species,41,Martellivirales,Martellivirales,0.0,139,8,,,
u15992,"['Palmprint', 'SOTU']",SOTU,64292,False,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,u15992,1.0,0.0
u240772,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,0,Mononegavirales,Mononegavirales,1.0,193,0,u240772,7.0,0.0
u505053,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,42,Mononegavirales,Mononegavirales,0.0,142,9,,,
u1513,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,0,Mononegavirales,Mononegavirales,1.0,193,0,u1513,6.0,0.0
u684732,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,43,Mononegavirales,Mononegavirales,0.0,144,10,,,
u23531,"['Palmprint', 'SOTU']",SOTU,64281,False,nan,species,0,Amarillovirales,Amarillovirales,1.0,208,0,u23531,2.0,0.0
u1971,"['Palmprint', 'SOTU']",SOTU,40054,False,nan,species,11,Reovirales,Reovirales,0.0,19,0,,,
u656057,"['Palmprint', 'SOTU']",SOTU,40054,False,nan,species,44,Reovirales,Reovirales,0.0,147,0,,,
u22510,"['Palmprint', 'SOTU']",SOTU,2547357,False,nan,species,11,Reovirales,Reovirales,0.0,19,0,,,
u372154,"['Palmprint', 'SOTU']",SOTU,1980456,True,nan,species,45,Bunyavirales,Bunyavirales,0.0,149,1,,,
u24280,"['Palmprint', 'SOTU']",SOTU,1980456,True,nan,species,0,Bunyavirales,Bunyavirales,0.0,193,0,u24280,1.0,0.0
u2371,"['Palmprint', 'SOTU']",SOTU,11263,True,nan,species,0,Mononegavirales,Mononegavirales,1.0,193,0,u2371,5.0,0.0
u6331,"['Palmprint', 'SOTU']",SOTU,64294,False,nan,species,0,Amarillovirales,Amarillovirales,0.0,282,0,,,
u19445,"['Palmprint', 'SOTU']",SOTU,64294,False,nan,species,0,Amarillovirales,Amarillovirales,0.0,208,0,u19445,1.0,0.0
u6944,"['Palmprint', 'SOTU']",SOTU,904698,False,nan,no rank,34,Bunyavirales,Bunyavirales,0.0,215,1,,,
u659542,"['Palmprint', 'SOTU']",SOTU,2748252,False,nan,species,46,Bunyavirales,Bunyavirales,1.0,879,2,u659542,1.0,0.0
u688967,"['Palmprint', 'SOTU']",SOTU,154122,False,nan,species,0,Picornavirales,Picornavirales,0.0,193,0,u688967,3.0,0.0
u25165,"['Palmprint', 'SOTU']",SOTU,38143,False,nan,no rank,28,Nidovirales,Nidovirales,0.0,208,6,,,
u9527,"['Palmprint', 'SOTU']",SOTU,38143,False,nan,no rank,28,Nidovirales,Nidovirales,0.0,208,6,u9527,1.0,0.0
u988516,"['Palmprint', 'SOTU']",SOTU,38143,False,nan,no rank,0,Nidovirales,Nidovirales,0.0,193,0,u988516,1.0,0.0
u3548,"['Palmprint', 'SOTU']",SOTU,11318,True,nan,species,47,Articulavirales,Articulavirales,0.0,399,3,u3548,1.0,0.0
u916072,"['Palmprint', 'SOTU']",SOTU,11318,True,nan,species,48,Articulavirales,Articulavirales,0.0,161,4,,,
u902785,"['Palmprint', 'SOTU']",SOTU,11318,True,nan,species,49,Articulavirales,Articulavirales,1.0,399,5,u902785,1.0,0.0
u2562,"['Palmprint', 'SOTU']",SOTU,11303,False,nan,no rank,0,Mononegavirales,Mononegavirales,0.0,193,0,u2562,1.0,0.0
u27014,"['Palmprint', 'SOTU']",SOTU,35307,True,nan,no rank,50,Bunyavirales,Bunyavirales,0.0,164,6,,,
u19955,"['Palmprint', 'SOTU']",SOTU,47000,False,nan,species,51,Picornavirales,Picornavirales,0.0,165,7,,,
u786704,"['Palmprint', 'SOTU']",SOTU,138948,True,nan,species,52,Picornavirales,Picornavirales,0.0,166,8,,,
u626280,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,0,Picornavirales,Picornavirales,0.0,208,0,u626280,2.0,0.0
u744974,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,0,Picornavirales,Picornavirales,0.0,208,0,u744974,1.0,0.0
u2083,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,0,Picornavirales,Picornavirales,0.0,193,0,u2083,1.0,0.0
u152971,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,53,Picornavirales,Picornavirales,0.0,193,9,,,
u19525,"['Palmprint', 'SOTU']",SOTU,172314,True,nan,no rank,0,Picornavirales,Picornavirales,0.0,193,0,u19525,1.0,0.0
u8640,"['Palmprint', 'SOTU']",SOTU,44024,True,nan,species,0,Amarillovirales,Amarillovirales,0.0,208,0,u8640,1.0,0.0
u9322,"['Palmprint', 'SOTU']",SOTU,44024,True,nan,species,0,Amarillovirales,Amarillovirales,0.0,208,0,u9322,1.0,0.0
u5523,"['Palmprint', 'SOTU']",SOTU,904679,False,nan,no rank,34,Bunyavirales,Bunyavirales,0.0,215,1,,,
