appId,labels,type,taxId,isZoonotic,hostClass,taxRank,communityId,taxOrder,displayLabel,pageRankSotu,louvainCommunityId,zoonoticColorCodes,communityColorCodes,sourceAppId,hostCount,hostCountNormalized
u15992,"['Palmprint', 'SOTU']",SOTU,64292,False,nan,species,6,Amarillovirales,u15992,1.5000278249764012,208.0,0,6,,,
u240772,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,73,Mononegavirales,u240772,0.2928903087927425,188.0,1,7,u240772,7.0,0.0
u505053,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,74,Mononegavirales,u505053,0.15000000000000002,142.0,1,8,,,
u1513,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,73,Mononegavirales,u1513,0.1681062456385206,188.0,1,7,u1513,4.0,0.0
u684732,"['Palmprint', 'SOTU']",SOTU,12730,True,nan,species,75,Mononegavirales,u684732,0.15000000000000002,144.0,1,9,,,
u23531,"['Palmprint', 'SOTU']",SOTU,64281,False,nan,species,2,Amarillovirales,u23531,0.4036147281375755,208.0,0,2,u23531,2.0,0.0
u1971,"['Palmprint', 'SOTU']",SOTU,40054,False,nan,species,19,Reovirales,u1971,0.22870394628365387,5.0,0,8,,,
u656057,"['Palmprint', 'SOTU']",SOTU,40054,False,nan,species,76,Reovirales,u656057,0.15000000000000002,147.0,0,10,,,
u22510,"['Palmprint', 'SOTU']",SOTU,2547357,False,nan,species,19,Reovirales,u22510,0.15000000000000002,5.0,0,8,,,
u372154,"['Palmprint', 'SOTU']",SOTU,1980456,True,nan,species,77,Bunyavirales,u372154,0.15000000000000002,149.0,1,0,,,
u24280,"['Palmprint', 'SOTU']",SOTU,1980456,True,nan,species,78,Bunyavirales,u24280,0.15000000000000002,150.0,1,1,u24280,1.0,0.0
u2371,"['Palmprint', 'SOTU']",SOTU,11263,True,nan,species,79,Mononegavirales,u2371,0.15000000000000002,188.0,1,2,u2371,2.0,0.0
u6331,"['Palmprint', 'SOTU']",SOTU,64294,False,nan,species,80,Amarillovirales,u6331,0.1649457838716681,208.0,0,3,,,
